message_id,url_id,url_host_defanged,url_length,hostname_length,path_length,path_depth,digit_ratio,special_ratio,subdomain_count,has_ip_literal,has_port,has_punycode,has_at_symbol,is_malformed,suspicious_token_count,hostname_entropy
msg-f34004cacab1d81e0720,url-77dc02c0368435145952,hxxps://evers14[.]co[.]kr,24,13,11,1,0.2916666666666667,0.125,1,0,0,0,0,0,0,3.238901256602631
msg-f34004cacab1d81e0720,url-8fae68c532a05963d9c9,hxxp://pf[.]kakao[.]com,19,12,7,1,0.0,0.21052631578947367,1,0,0,0,0,0,0,2.918295834054489
msg-f34004cacab1d81e0720,url-08ce0b57c8ed0e0df32a,hxxps://alie[.]kr,15,7,8,1,0.06666666666666667,0.13333333333333333,0,0,0,0,0,0,0,2.8073549220576037
msg-9b14582d0f55e7be5e4f,url-5f7f1009a4fb381d35d0,hxxps://bit[.]ly,14,6,8,1,0.14285714285714285,0.14285714285714285,0,0,0,0,0,0,0,2.584962500721156
msg-c7599d7c10ffdf67e4a3,url-2299b9563e3e7d9ba07e,hxxp://cv[.]uplus[.]kr,18,11,7,1,0.05555555555555555,0.2222222222222222,1,0,0,0,0,0,0,3.095795255000934
msg-ff2d5911ea3f77ce92be,url-16c29d37c808ed3313b8,hxxps://evers14[.]co[.]kr,17,13,4,1,0.29411764705882354,0.17647058823529413,1,0,0,0,0,0,0,3.238901256602631
msg-ff2d5911ea3f77ce92be,url-bfb55aeae48d05a84f63,hxxp://pf[.]kakao[.]com,19,12,7,1,0.0,0.21052631578947367,1,0,0,0,0,0,0,2.918295834054489
msg-ff2d5911ea3f77ce92be,url-ce04c86cc2ad40351426,hxxps://alie[.]kr,15,7,8,1,0.06666666666666667,0.13333333333333333,0,0,0,0,0,0,0,2.8073549220576037
msg-a0cf04835f308442dd85,url-8f910bd058c9bd7089e6,hxxp://bit[.]ly,14,6,8,1,0.07142857142857142,0.14285714285714285,0,0,0,0,0,0,0,2.584962500721156
msg-75a632d200af9a6d861d,url-375bf3b6f37aa701905a,hxxps://me[.]shinhan[.]com,23,14,9,1,0.043478260869565216,0.13043478260869565,1,0,0,0,0,0,0,3.2359263506290326
